,,,,,,,,,,,,,,,,,,,,,,,,
Кейсы,,,,,,,,,,,Баги ,,,,,,вопросы,,,,,,,
Номер кейса,Название кейса,Предусловие,Шаги,Ожидаемый результат,,,,,,,Номер,Название,Шаги,Ожидаемый результат,Фактический результат,,"1. Должно ли быть так, что бегунок модемного решения нельзя перетягивать мышкой, только кнопками ""+"" и ""-"" ?",,,,,,,
1,Наличие одной страницы у приложения,"Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html","1.Пролистать страницу вниз
2.Убедиться в остутствии возможности перехода на следующую страницу",Приложение имеет одну страницу,,,,,,,1,Возможность отрицательного баланса,"В окно ввода ""Пополнить счет"" ввести ""-1000"" нажать кнопку ""Пополнить счет""","Появляется ошибка ""Ввод неверных данных""","Баланс счета изменяется на ""-1000""",,2. Почему нет ограничений по вводу значений в поле пополнения счета?,,,,,,,
2,Отображение бегунка модемного решения,"Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html",Убедиться что бегунок модемного решения YOTA находится с левой стороны,Бегунок модемного решения YOTA находится с левой стороны,,,,,,,2,Кол-во оставшихся дней при базовых  условиях,Запустить приложение YOTA,"Кол-во дней либо указано, либо стоит прочерк, либо знак бесконечности","Кол-во оставшихся дней - ""0""",,"3. Почему такая маленькая площадь нажатия кнопок ""+"" и ""-"" бегунка модемного решения? Тяжело попадать мышкой",,,,,,,
3,Отображение интерфеса пополнения баланса,"Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html",Убедиться что интерфейс пополнения баланса пользователя находится с правой стороны,Интерфейс пополнения баланса пользователя находится с правой стороны,,,,,,,3,Неизменность кол-ва дней при новых условиях,"1.Пополнить счет на 300 руб.
2.Подключить услугу ""30 дней/320кбит/cек/300руб","В текущих условиях, кол-во дней изменяется с ""0"" на ""30""","В текущих условиях кол-во дней остается ""0""",,"4. В 7-ом пункте документации не указано наличие кнопки ""Сброс"", не стал вносить в тест-кейсы",,,,,,,
4,Работа бегунка модемного решения,"Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html","1.Нажать ""+"" бегунка модемного решения
2.Нажать ""-"" бегунка модемного решения","1.Бегунок смещается вправо, изменяются данные раздела ""Новые условия""
2.Бегунок смещается влево, данные раздела ""Новые условия"" становятся начальными",,,,,,,4,Смещение строчки при вводе 10 символов и более в поле пополнения баланса,"1.В поле ввода пополнения баланса ввести ""9999999999""
2.Нажать кнопку ""Пополнить счет""","Введенное число либо сжимается, либо выдает ошибку",Строчка смещается вниз,,5. Странная рамка возле кнопки подключить,,,,,,,
5, Подключенный бесплатный продукт при запуске приложения,"Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html","Убедиться, что в крайне левом положении бегунка в ""Текущие условия"" указано: 64кбит/сек, 0 руб. в месяц, кнопка ""Подключить"" не активна",Имеется изначально подключенный бесплатный продукт,,,,,,,5,Округление при вводе 16 символов и более в поле пополнения баланса,"1.В поле ввода пополнения баланса ввести ""9999999999999999""
2.Нажать кнопку ""Пополнить счет""","Баланс изменяется на ""9999999999999999"", либо выдает ошибку","Баланс округляется до ""1000000000000000""",,"6. Остутсвие появления ошибки при вводе невалидных данных (букв, символов) и длинных чисел в поле ввода пополнения баланса",,,,,,,.
6,"Неактивность кнопки ""Подключить"" если продукт подключен","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.Бегунок модемного решения находится в крайне левом положении
3.На балансе счета имеется 300руб.","1.Нажать ""+"" бегунка модемного решения
2.Нажать ""-"" бегунка модемного решения","1.Бегунок смещается вправо, кнопка ""Подключить"" становится активной
2.Бегунок смещается влево, кнопка ""Подключить"" становится не активной",,,,,,,6,Выход строчки за рамку при вводе 17 символов и более в поле пополнения баланса,"1.В поле ввода пополнения баланса ввести ""99999999999999999""
2.Нажать кнопку ""Пополнить счет""","Введенное число либо сжимается, либо выдает ошибку","Строчка смещается вниз, символы выходят за рамку, где не видно все значение",.,"7.При перезагрузке сервера имеется даунтайм прогрузки баланса, баланс прогружается в последнюю очередь",,,,,,,
7,"Кнопка ""Подключить"" при недостаточном балансе и не подключенном выбранном предложении","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0
3.Бегунок модемного решения находится в крайне левом положении","Нажать ""+"" бегунка модемного решения","Бегунок смещается вправо, изменяются данные раздела ""Новые условия"", кнопка ""Подключить"" не активна",,,,,,,7,"Сброс не всех данных по нажатию кнопки ""Сброс""","1.В поле ввода пополнения баланса ввести ""1000""
2.Нажать кнопку ""Сброс""","В поле ввода пополнения баланса - ""0""","В поле ввода пополнения баланса - ""1000""",,,,,,,,,
8,"Кнопка ""Подключить"" при достаточном балансе и не подключенном выбранном предложении","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.Бегунок модемного решения находится в крайне левом положении","1.В окно ввода ""Пополнить счет"" ввести ""1000"" нажать кнопку ""Пополнить счет""
2.Нажать ""+"" бегунка модемного решения","1.Баланс счета изменяется на ""1000""
2.Бегунок смещается вправо, стоимость оплаты в ""Новые условия"" изменяется , кнопка ""Подключить"" становится активной",,,,,,,8,"Анимация кнопок ""Пополнить счет"" и ""Сброс"" зависает","Нажать кнопку ""Пополнить счет"" или ""Сброс""","Кнопка нажимается, затем снова подсвечивается для нажатия","Кнопки выглядят не отжатыми, при наведении на нажатую кнопку не подсвечивается",.,,,,,,,,
9,"Расположение бегунка по нажатию кнопки ""Подключить""","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.Бегунок модемного решения находится в крайне левом положении","1.В окно ввода ""Пополнить счет"" ввести ""1000"" нажать кнопку ""Пополнить счет""
2.Нажать ""+"" бегунка модемного решения
3.Нажать кнопку ""Подключить""","1.Баланс счета изменяется на ""1000""
2.Бегунок смещается вправо, кнопка ""Подключить"" становится активной
3.Подключается условие, на котором в данный момент расположен бегунок",,,,,,,,,,,,,,,,,,,,
10,"Увеличение баланса по нажатию кнопки ""Пополнить счет""","1.Открыт браузер, в адресную строку введен адрес : http://localhost:4567/index.html
2.В интерфейсе пополнения счета баланс равен 0","В окно ввода ""Пополнить счет"" ввести ""1000"" нажать кнопку ""Пополнить счет""","1.Баланс счета изменяется на ""1000""
2.Окно ввода ""Пополнить счет"" показывает ""0""",,,,,,,,,,,,,,,,,,,,
